,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Tibetan_Gangcha:QH4,0.022765,-0.399103,0.018479,-0.037791,0.012925,0.001952,0.00893,0.007615,0.003886,0.010205,-0.081681,-0.006294,0.012339,-0.003303,-0.004886,-0.002917,-0.001695,-0.000887,-0.006034,0.006753,0.004492,0.015951,0.000863,-0.006989,0.0382
Tibetan_Gangcha:QH5,0.026179,-0.400119,0.01697,-0.043605,0.009232,-0.002231,0.00517,0.004846,0.005727,0.010023,-0.073724,-0.009442,0.00996,-0.006744,-0.000271,-0.004243,-0.001173,-0.00266,-0.008547,0.006628,-0.003993,0.013231,-0.001602,0.003494,0.03353
Tibetan_Gangcha:QH6,0.01935,-0.399103,0.012068,-0.040698,0.01231,-0.001116,0.01081,0.002308,0.001432,0.007472,-0.080545,-0.004046,0.003122,-0.003441,-0.001086,0.006762,-0.005346,-0.007221,-0.008799,0.009004,-0.006239,0.018053,0.002711,0.00241,0.027423
Tibetan_Gangcha:QH7,0.027318,-0.399103,0.022627,-0.04522,0.001231,-0.000837,0.014336,0.009,0.000409,0.009841,-0.071613,-0.009442,0.00773,-0.002615,-0.0057,0.005038,0.004042,0.004814,-0.000251,0.005002,0.001123,0.02065,-0.002342,0.000361,0.036404
Tibetan_Gangcha:QH8,0.028456,-0.399103,0.013953,-0.037468,0.013233,-0.003347,0.00705,0.011076,0.000818,0.003098,-0.077946,-0.012289,0.008028,-0.005643,-0.013436,-0.006762,0.003651,-0.005321,-0.00264,0.000625,-0.005615,0.019166,0.00493,0.005784,0.019519
Tibetan_Gangcha:QH9,0.029594,-0.40215,0.013953,-0.039083,0.010771,0.008367,0.013866,0.011307,0.000614,0.008201,-0.067878,-0.01169,0.010406,0.003578,0.000814,0.00358,0.004694,-0.003674,-0.005908,0.000875,-0.001248,0.013107,0.000986,-0.004217,0.031973
Tibetan_Gannan:GN01,0.030732,-0.397072,0.00528,-0.049419,0.023389,0.014502,0.00282,0.002308,-0.013499,-0.001093,-0.075511,-0.007943,0.001189,-0.007156,-0.002714,-0.002784,0.001695,-0.003167,-0.011061,-0.011631,-0.003494,0.00915,0.012818,-0.001084,0.011855
Tibetan_Gannan:GN03,0.022765,-0.387932,0.004148,-0.050065,0.031698,0.020638,0.003995,0.006923,-0.015953,0.004009,-0.06252,-0.005845,0.009366,-0.006881,-0.003936,-0.000928,-0.001825,0,-0.003394,-0.012006,0.006863,0.000742,0.01405,0.008676,0.003113
Tibetan_Gannan:GN10,0.039838,-0.40215,0.009051,-0.046835,0.036314,0.018407,0.00987,0.009692,-0.013703,0.004191,-0.060896,-0.017834,0.013082,-0.001651,-0.004886,-0.006762,0.001434,-0.000633,-0.006788,-0.005253,0.003868,0.018919,0.009613,0.000241,0.011616
Tibetan_Gannan:GN17,0.035285,-0.388948,0.006411,-0.046835,0.038469,0.02008,0.011281,0.007154,-0.007363,0.000364,-0.06252,0.00045,0.013974,-0.01445,-0.011943,-0.007292,0.001434,0.00038,-0.009427,-0.008879,0.002121,0.015457,0.012818,0.005422,0.007544
