,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
VUT_500BP_all,-0.037562,-0.246774,-0.216467,0.228685,0.172032,-0.366183,0.002585,0.002308,-0.024952,-0.012028,0.003897,0.003597,-0.001784,-0.001651,-0.003257,-0.006364,0.003129,-0.002407,0.004022,0.001876,0.004367,-0.005317,0.000616,-0.006025,-0.005868
Wales_CA_EBA,0.126344,0.139128,0.067505,0.053618,0.036622,0.020917,0.002115,0.007615,-0.005318,-0.013485,-0.009581,0.01124,-0.00669,-0.009358,0.020087,0.010342,-0.014212,0.006461,-0.001634,0.000625,0.013476,0.005317,0.004807,0.013014,0.001796
Wales_Meso,0.1160995,0.1157705,0.187806,0.195416,0.1629535,0.0642845,0.0243235,0.030691,0.0915245,0.010023,-0.020055,-0.0059945,0.0049805,-0.0015825,0.061617,0.0646375,-0.001043,0.010135,-0.0043995,0.0596535,0.1056885,0.0183625,-0.047327,-0.175386,0.017783
Wales_N,0.12236,0.1675625,0.0494025,-0.0421515,0.0829385,-0.0207775,-0.003995,-0.000808,0.0583915,0.085013,-0.002111,0.0109405,-0.031665,-0.0063305,-0.0109935,-0.00716,0.0065845,0.002217,-0.0023885,-0.004752,0.014911,0.006677,-0.0162075,-0.0409095,-0.001916
WHG,0.1246365,0.116278,0.184789,0.189279,0.1546445,0.0464355,0.0131605,0.0372675,0.0890705,0.017768,-0.0153455,-0.015811,0.0159065,-0.0030275,0.053338,0.0582065,0.00502,0.016343,-0.0093015,0.055589,0.0944585,0.0111905,-0.049607,-0.160866,0.0170045
Yamnaya_BGR,0.113823,0.123895,0.034318,0.040375,0.003693,0.012829,0.003055,0.001615,-0.02127,-0.014579,0.005846,0.003897,-0.014271,0.00867,0.011401,-0.013524,-0.005998,0.000253,-0.000628,-0.004752,0.004742,0.005441,-0.002588,-0.000482,0.001197
Yamnaya_KAZ_Karagash,0.122929,0.08632,0.039598,0.10756,-0.020619,0.046854,0.000705,-0.010384,-0.059107,-0.070525,-0.00682,0.002698,-0.005798,-0.027525,0.040445,0.0179,0.002868,-0.005954,-0.006662,0.009379,-0.011105,-0.003833,0.008874,0.026269,-0.00958
Yamnaya_KAZ_Mereke,0.1161,0.073118,0.040729,0.117896,-0.032929,0.059961,-0.00517,-0.003,-0.052972,-0.080548,0.002436,-0.006744,0.001933,-0.027662,0.034473,0.008751,-0.021122,-0.004814,0.002388,0.014632,0.000499,0.006059,0.018117,0.016629,-0.004071
Yamnaya_RUS_Caucasus,0.1132538,0.08175,0.0255502,0.106106,-0.0410072,0.0393933,0.002409,-0.0082495,-0.0638112,-0.0777238,-0.0014613,-0.0071188,-0.0005575,-0.0250472,0.032505,0.0070272,-0.0094855,-0.0014887,-0.0048395,0.00519,-0.0033065,0.0034312,0.004283,0.0125015,-0.006287
Yamnaya_RUS_Kalmykia,0.115189,0.092007,0.0465368,0.1129864,-0.0276358,0.0420566,0.004371,-0.003646,-0.0539944,-0.0743522,-0.000942,0.0004496,-0.001011,-0.023616,0.0278496,0.0116148,0.0012254,-0.002559,0.0007542,0.0102548,-0.0042426,0.0005688,0.016244,0.0230152,-0.0035446
Yamnaya_RUS_Samara,0.1255849,0.089028,0.0426986,0.1153479,-0.0287232,0.0450564,0.0036033,-0.0025642,-0.0559032,-0.0728943,0.0018222,3.32e-05,-0.0026924,-0.0233041,0.0366141,0.0157633,-0.0012316,-0.0017879,-0.0038408,0.0137704,-0.0031749,0.0007557,0.0110649,0.0186102,-0.004537
Yamnaya_UKR,0.119514,0.0873355,0.0452545,0.1106285,-0.028313,0.042531,0.00846,-0.003461,-0.0521535,-0.0707985,0.0002435,0.004421,-0.0043115,-0.0202305,0.0323015,0.0107395,-0.0002605,-0.011529,-0.005531,0.002376,-0.0028075,0.0004325,-0.009367,0.0192795,0.0031135
Yamnaya_UKR_Ozera_o,0.1161,0.099522,0.000754,0.043605,-0.028005,0.016176,0.00611,0.001615,-0.04745,-0.039181,-0.00065,0.005395,-0.003419,-0.008395,0.020765,0.01432,0.009388,-0.003167,-0.002011,0.00988,-0.005865,0.004946,-0.003204,0.005061,0.002754
ZAF_1200BP,-0.504236,0.073118,0.004525,0.002584,0,-0.018686,0.162862,-0.128764,0.048677,-0.022597,-0.005196,-0.043012,-0.02111,0.003716,0.02348,-0.023866,0.025946,0.185852,-0.056816,-0.002751,-0.018093,-0.003462,0.008504,0.002651,0.002994
ZAF_2000BP,-0.641583,0.0558543,0.0258957,0.034884,0.001231,-0.0030677,0.2680687,-0.2072223,0.0104307,0.0153683,0.008715,-0.0659913,-0.0216053,0.0064223,0.023751,-0.0201537,0.034204,0.294593,-0.09574,0.0060447,-0.033857,-0.0039157,0.003163,-0.0029323,-0.000399
ZAF_2100BP,-0.639686,0.058901,0.025644,0.041344,-0.00277,-0.002789,0.267912,-0.20653,0.011658,0.016766,0.002761,-0.06744,-0.01888,0.005092,0.026058,-0.013392,0.031944,0.289737,-0.092137,0.003752,-0.035188,-0.000495,0.002835,-0.000843,-0.00934
ZAF_400BP,-0.6257428,0.0634707,0.021307,0.0155848,0.0039238,0.0096915,0.0056988,0.001096,-0.023469,0.0098405,0.0056837,-0.003072,-0.0103318,0.001858,-0.0126558,0.0168058,-0.0075622,0.041839,-0.0199858,0.00247,-0.0024645,-0.0002163,0.003451,-0.0046992,0.0010178
